fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,fecha_create,fecha_update
3 oct 2024,264280,265710,264000,265710,265710,354,2025-05-5,2025-05-5
2 oct 2024,265060,265720,264000,264710,264710,72,2025-05-5,2025-05-5
1 oct 2024,263140,267090,263140,266730,266730,153,2025-05-5,2025-05-5
30 sept 2024,266090,266210,262320,263610,263610,973,2025-05-5,2025-05-5
27 sept 2024,267000,267210,264170,264430,264430,4228,2025-05-5,2025-05-5
26 sept 2024,266230,266990,266080,266990,266990,17216,2025-05-5,2025-05-5
25 sept 2024,265630,266420,264930,265920,265920,175,2025-05-5,2025-05-5
24 sept 2024,263680,266230,262550,265120,265120,35,2025-05-5,2025-05-5
23 sept 2024,262650,262650,262650,262650,262650,9,2025-05-5,2025-05-5
20 sept 2024,259040,262180,259040,261990,261990,17,2025-05-5,2025-05-5
19 sept 2024,256600,258800,256600,258800,258800,99,2025-05-5,2025-05-5
18 sept 2024,257070,257070,254920,257070,257070,25,2025-05-5,2025-05-5
17 sept 2024,258120,258180,256430,256430,256430,22,2025-05-5,2025-05-5
16 sept 2024,258040,258040,258040,258040,258040,28,2025-05-5,2025-05-5
13 sept 2024,256880,258180,256500,258130,258130,31,2025-05-5,2025-05-5
12 sept 2024,252910,255700,252340,255120,255120,132,2025-05-5,2025-05-5
11 sept 2024,252580,252580,250230,251210,251210,90,2025-05-5,2025-05-5
10 sept 2024,251230,251230,251230,251230,251230,5,2025-05-5,2025-05-5
9 sept 2024,249130,250470,249130,250180,250180,96,2025-05-5,2025-05-5
6 sept 2024,251030,251790,248370,249350,249350,96,2025-05-5,2025-05-5
5 sept 2024,249370,251330,249340,251140,251140,54,2025-05-5,2025-05-5
4 sept 2024,249090,249340,248350,249340,249340,470,2025-05-5,2025-05-5
3 sept 2024,250160,250180,247630,248990,248990,206,2025-05-5,2025-05-5
30 ago 2024,251950,252540,249380,249380,249380,208,2025-05-5,2025-05-5
29 ago 2024,250410,252570,250390,252570,252570,3966,2025-05-5,2025-05-5
28 ago 2024,250100,250100,250100,250100,250100,2353,2025-05-5,2025-05-5
27 ago 2024,251520,252310,250690,251600,251600,100,2025-05-5,2025-05-5
26 ago 2024,250990,252310,250910,251770,251770,290,2025-05-5,2025-05-5
23 ago 2024,248650,250840,248650,250840,250840,94,2025-05-5,2025-05-5
22 ago 2024,250410,250410,247110,247890,247890,210,2025-05-5,2025-05-5
21 ago 2024,251100,251540,250390,250840,250840,96,2025-05-5,2025-05-5
20 ago 2024,250350,252730,250070,251130,251130,187,2025-05-5,2025-05-5
19 ago 2024,250850,250850,248720,250180,250180,88,2025-05-5,2025-05-5
16 ago 2024,245350,250800,245140,249860,249860,197,2025-05-5,2025-05-5
15 ago 2024,245180,246770,243120,245310,245310,285,2025-05-5,2025-05-5
14 ago 2024,246800,247210,243940,243940,243940,274,2025-05-5,2025-05-5
13 ago 2024,246100,247000,245650,246670,246670,510,2025-05-5,2025-05-5
12 ago 2024,243270,246980,243200,246240,246240,566,2025-05-5,2025-05-5
9 ago 2024,242230,243210,241850,243210,243210,611,2025-05-5,2025-05-5
8 ago 2024,238430,242280,238430,242220,242220,201,2025-05-5,2025-05-5
7 ago 2024,239220,240100,238450,239050,239050,130,2025-05-5,2025-05-5
6 ago 2024,241450,242180,238000,238910,238910,163,2025-05-5,2025-05-5
5 ago 2024,244200,244980,236740,240170,240170,334,2025-05-5,2025-05-5
2 ago 2024,244400,247700,241600,242570,242570,550,2025-05-5,2025-05-5
1 ago 2024,244670,245510,243040,243500,243500,690,2025-05-5,2025-05-5
31 jul 2024,240710,244760,240280,242650,242650,1313,2025-05-5,2025-05-5
30 jul 2024,238090,240930,237380,240500,240500,25944,2025-05-5,2025-05-5
29 jul 2024,237730,237730,237730,237730,237730,126409,2025-05-5,2025-05-5
26 jul 2024,236870,238690,236870,238000,238000,95,2025-05-5,2025-05-5
25 jul 2024,236550,236550,235190,235190,235190,31,2025-05-5,2025-05-5
24 jul 2024,242100,242100,241160,241330,241330,6,2025-05-5,2025-05-5
23 jul 2024,239580,240460,238870,240460,240460,41,2025-05-5,2025-05-5
22 jul 2024,240210,240210,239200,239200,239200,18,2025-05-5,2025-05-5
19 jul 2024,241880,241920,239550,239550,239550,15,2025-05-5,2025-05-5
18 jul 2024,246600,246600,245180,245180,245180,2,2025-05-5,2025-05-5
17 jul 2024,247290,247310,245480,245480,245480,10,2025-05-5,2025-05-5
16 jul 2024,242740,246240,242740,246240,246240,93,2025-05-5,2025-05-5
15 jul 2024,243000,243600,242290,242290,242290,540,2025-05-5,2025-05-5
12 jul 2024,239980,241400,239130,241400,241400,355,2025-05-5,2025-05-5
11 jul 2024,237870,241670,237870,241500,241500,72,2025-05-5,2025-05-5
10 jul 2024,236630,237700,236580,237220,237220,19,2025-05-5,2025-05-5
9 jul 2024,236310,236370,236010,236010,236010,9,2025-05-5,2025-05-5
8 jul 2024,238170,238380,235280,235520,235520,64,2025-05-5,2025-05-5
5 jul 2024,235490,238850,235490,238850,238850,72,2025-05-5,2025-05-5
3 jul 2024,233090,236160,233090,235980,235980,59,2025-05-5,2025-05-5
2 jul 2024,233070,233460,232300,232300,232300,30,2025-05-5,2025-05-5
1 jul 2024,232380,232970,232170,232760,232760,237,2025-05-5,2025-05-5
28 jun 2024,232540,233830,231900,232770,232770,92,2025-05-5,2025-05-5
27 jun 2024,229680,232900,229500,232450,232450,1532,2025-05-5,2025-05-5
26 jun 2024,230790,231440,229800,229920,229920,986,2025-05-5,2025-05-5
25 jun 2024,232440,233300,231660,231660,231660,105,2025-05-5,2025-05-5
24 jun 2024,232330,233290,232270,233000,233000,99,2025-05-5,2025-05-5
21 jun 2024,233120,233120,231640,231640,231640,76,2025-05-5,2025-05-5
20 jun 2024,232890,235400,232830,235380,235380,183,2025-05-5,2025-05-5
18 jun 2024,231180,233040,231180,233040,233040,43,2025-05-5,2025-05-5
17 jun 2024,232020,232020,230960,231240,231240,110,2025-05-5,2025-05-5
14 jun 2024,230700,233140,230580,233140,233140,948,2025-05-5,2025-05-5
13 jun 2024,230940,231770,229620,230020,230020,298,2025-05-5,2025-05-5
12 jun 2024,231490,233870,231030,233600,233600,132,2025-05-5,2025-05-5
11 jun 2024,230000,231410,230000,230750,230750,871,2025-05-5,2025-05-5
10 jun 2024,229060,230930,229050,230770,230770,69,2025-05-5,2025-05-5
7 jun 2024,237990,238510,228540,230520,230520,269,2025-05-5,2025-05-5
6 jun 2024,235500,237580,235500,237030,237030,179,2025-05-5,2025-05-5
5 jun 2024,232640,235430,232620,235410,235410,295,2025-05-5,2025-05-5
4 jun 2024,234750,234770,231390,232550,232550,890,2025-05-5,2025-05-5
3 jun 2024,232260,234750,231200,234660,234660,781,2025-05-5,2025-05-5
31 may 2024,234410,235400,231900,232290,232290,941,2025-05-5,2025-05-5
30 may 2024,233690,234950,232080,234290,234290,32587,2025-05-5,2025-05-5
29 may 2024,234030,234030,234030,234030,234030,119317,2025-05-5,2025-05-5
28 may 2024,233690,235970,233690,235520,235520,26,2025-05-5,2025-05-5
24 may 2024,234260,234540,233250,233250,233250,25,2025-05-5,2025-05-5
23 may 2024,237120,237120,233500,233500,233500,365,2025-05-5,2025-05-5
22 may 2024,241750,241760,237580,238920,238920,180,2025-05-5,2025-05-5
21 may 2024,242950,242950,242100,242170,242170,6,2025-05-5,2025-05-5
20 may 2024,241580,243580,240970,243390,243390,40,2025-05-5,2025-05-5
17 may 2024,238070,241580,238070,241220,241220,213,2025-05-5,2025-05-5
16 may 2024,238950,239220,238000,238000,238000,7,2025-05-5,2025-05-5
15 may 2024,236160,238870,235600,238870,238870,29,2025-05-5,2025-05-5
14 may 2024,233600,235800,233600,235340,235340,6,2025-05-5,2025-05-5
13 may 2024,235830,235830,233610,233610,233610,14,2025-05-5,2025-05-5
